division_code,department_name,department_code,manager_id,assistant_manager_id,secretary_id,hr_generalist,description
AD,Administration Office,AO,A1775,,A3298,A3298,
AD,General Services Department,GSD,A0182,,A1796,A1796,
AD,Human Resources Department - Admin,HRD,A1596,,A1354,A1354,
AD,Accounting Department,AD,A1597,,A4255,A4255,
AD,Information and Communications Technology Department - Admin,ICT,A0057,,A3125,A3125,
AD,Materials Control Department - Admin,MCD,A4137,,D7832,D7832,
AD,Medical Department,MD,A0145,,A3643,A3643,
CD,Security Department,SD,A2700,,A3767,A3767,
CD,Weighbridge,WD,A0793,,A3667,A3667,
CD,Accounting and Finance Department,AFD,A4145,,A2293,A2293,
CD,Administration,A,A2574,,A3479,A3479,
CD,Executive,EX,A2262,,A1576,A1576,
CD,Human Resources Department - Davao,HRDD,A1392,,A2289,A2289,
CD,Information and Communications Technology Department - Davao,ICTD,A3918,,A3834,A3834,
CD,Legal Department - Davao,LD,A4151,,A3492,A3492,
CD,Materials Control Department - Davao,MCDD,A2477,,A4014,A4014,
CD,Civil Works Department,CWD,A2268,,A4018,A4018,
ECSD,Electrical Services Department,ESD,A4378,,A0685,A0685,
ECSD,Motorpool Department,MDD,A2837,,A0510,A0510,
ECSD,Technical Services Department,TSD,A1659,,A0333,A0333,
ECSD,Audit and Systems Improvement Engineer Department,ASIED,A4265,,A3203,A3203,
ECSD,Environment Department,ED,A0061,,A0760,A0760,
ECSD,Executive Office,EO,A1778,,A0151,A0151,
ECSD,Legal Department - ED,LDD,A2137,,A0994,A0994,
ECSD,Quality Assurance/Quality Control Department,QACD,A1230,,A3573,A3573,
ED,Safety Department,SFD,A2587,,A0555,A0555,
ED,Special Project,SP,A3313,,A0993,A0993,
ED,"Tenements, Licensing & Community Relations (TLCR) Department",TLCR,A0843,,A1242,A1242,
ED,Admin and Finance Services,AFS,A0548,,A1471,A1471,
ED,Co-o Deparment,COO,A3373,,A1472,A1472,
ED,GIS/Data Administration/QAQC,QAQC,A2588,,A4138,A4138,
ED,Tambis,TBS,A2462,,A0762,A0762,
EXD,Technical Support Services,TSC,A2959,,A4174,A4174,
EXD,Mill Executive Department,MED,A1777,,A1794,A1794,
EXD,Mill Maintenance Department,MMD,A4225,,A2576,A2576,
EXD,Mill Metallurgy Department,MMDD,A0441,,A3472,A3472,
EXD,Mill Operation Department,MOD,A3032,,A0996,A0996,
MD,Mine Electrical,ME,A0705,,A4182,A4182,
MD,Mine Engineering,MEDD,A1779,,A2546,A2546,
MD,Mine Explosive,MNE,A1793,,A2937,A2937,
MD,Mine Geology,MNG,A0180,,A2164,A2164,
MD,Mine Mechanical,MNM,A0843,,A3984,A3984,
MD,Mine Operation,MNO,A0548,,A2288,A2288,
